NAME                         INSTALLED              FIXED-IN                  TYPE          VULNERABILITY        SEVERITY 
audit-libs                   2.8.4-4.el7            (won't fix)               rpm           CVE-2015-5186        Medium    
bash                         4.2.46-31.el7          0:4.2.46-34.el7           rpm           CVE-2019-9924        Medium    
bash                         4.2.46-31.el7          (won't fix)               rpm           CVE-2019-18276       Low       
bash                         4.2.46-31.el7          (won't fix)               rpm           CVE-2012-6711        Medium    
bind-license                 32:9.9.4-73.el7_6      32:9.11.4-26.P2.el7_9.10  rpm           CVE-2022-38177       High      
bind-license                 32:9.9.4-73.el7_6      32:9.11.4-26.P2.el7_9.10  rpm           CVE-2022-38178       High      
bind-license                 32:9.9.4-73.el7_6      32:9.11.4-16.P2.el7       rpm           CVE-2019-6477        Medium    
bind-license                 32:9.9.4-73.el7_6      32:9.11.4-26.P2.el7_9.7   rpm           CVE-2021-25214       Medium    
bind-license                 32:9.9.4-73.el7_6      32:9.11.4-16.P2.el7_8.6   rpm           CVE-2020-8617        High      
bind-license                 32:9.9.4-73.el7_6                                rpm           CVE-2022-3094        Medium    
bind-license                 32:9.9.4-73.el7_6      (won't fix)               rpm           CVE-2013-5661        Low       
bind-license                 32:9.9.4-73.el7_6      32:9.11.4-26.P2.el7_9.5   rpm           CVE-2021-25215       High      
bind-license                 32:9.9.4-73.el7_6      32:9.11.4-16.P2.el7       rpm           CVE-2018-5745        Low       
bind-license                 32:9.9.4-73.el7_6      32:9.11.4-26.P2.el7_9.2   rpm           CVE-2020-8623        Medium    
bind-license                 32:9.9.4-73.el7_6      32:9.11.4-26.P2.el7_9.4   rpm           CVE-2020-8625        High      
bind-license                 32:9.9.4-73.el7_6      32:9.11.4-26.P2.el7_9.2   rpm           CVE-2020-8622        Medium    
bind-license                 32:9.9.4-73.el7_6      32:9.11.4-26.P2.el7_9.13  rpm           CVE-2021-25220       Medium    
bind-license                 32:9.9.4-73.el7_6      (won't fix)               rpm           CVE-2016-6170        Low       
bind-license                 32:9.9.4-73.el7_6      32:9.11.4-9.P2.el7        rpm           CVE-2018-5741        Medium    
bind-license                 32:9.9.4-73.el7_6      32:9.11.4-16.P2.el7_8.6   rpm           CVE-2020-8616        High      
bind-license                 32:9.9.4-73.el7_6      32:9.11.4-26.P2.el7_9.13  rpm           CVE-2022-2795        Medium    
bind-license                 32:9.9.4-73.el7_6      32:9.11.4-26.P2.el7_9.2   rpm           CVE-2020-8624        Medium    
bind-license                 32:9.9.4-73.el7_6      32:9.9.4-74.el7_6.1       rpm           CVE-2018-5743        High      
bind-license                 32:9.9.4-73.el7_6      32:9.11.4-16.P2.el7       rpm           CVE-2019-6465        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2016-4487        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9042        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-12967       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2022-4285        Medium    
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9749        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2016-4488        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2016-4490        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9748        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-13716       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-14934       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2022-38533       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-13757       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-16827       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-14745       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2016-2226        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-12452       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-14128       Low       
